Partname-S,Partname,Position,max_P,min_P,width,max_W,min_W
ECASD41E106M040KH0+C001/K803,ECASD41E106M040KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E106M040KH0+C009/K803,ECASD41E106M040KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E156M040KA0+C001/K803,ECASD41E156M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E156M040KH0+C009/K803,ECASD41E156M040KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E226M040KA0+C001/K803,ECASD41E226M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E226M040KH0+C001/K803,ECASD41E226M040KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E226M040KH0+C009/K803,ECASD41E226M040KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E226M040LA0+C001/L801,ECASD41E226M040LA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E336M040KA0+C001/K803,ECASD41E336M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E336M040KA0+C011/K803,ECASD41E336M040KA0+C011,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E336M040KH0+C001/K803,ECASD41E336M040KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E336M040KT0+C001/K803,ECASD41E336M040KT0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D227M009K00+C001/K803,ECASD60D227M009K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D337M006K00+C001/K803,ECASD60D337M006K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D337M006K00+C002/K803,ECASD60D337M006K00+C002,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D337M007K00+C001/K803,ECASD60D337M007K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D337M007K02+C001/K803,ECASD60D337M007K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D337M007L00+C001/L801,ECASD60D337M007L00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D477M006K00+C001/K803,ECASD60D477M006K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D477M006K00+C002/K803,ECASD60D477M006K00+C002,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D477M006K00+C005/K803,ECASD60D477M006K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D477M006K02+C001/K803,ECASD60D477M006K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D477M009K00+C001/K803,ECASD60D477M009K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D477M4R5K00+C001/K803,ECASD60D477M4R5K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D477M4R5K00+C005/K803,ECASD60D477M4R5K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60D477M4R5K00+C014/K803,ECASD60D477M4R5K00+C014,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60E397M006K01+C001/K803,ECASD60E397M006K01+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60E477M006K00+C005/K803,ECASD60E477M006K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60E477M006K00+C009/K803,ECASD60E477M006K00+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60E477M009K00+C001/K803,ECASD60E477M009K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60E477M4R5K00+C009/K803,ECASD60E477M4R5K00+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60E477M4R5KH0+C001/K803,ECASD60E477M4R5KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60E477M4R5KH0+C009/K803,ECASD60E477M4R5KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60E477M4R5LH0+C009/L801,ECASD60E477M4R5LH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60G187M012K00+C001/K803,ECASD60G187M012K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60G227M009K02+C001/K803,ECASD60G227M009K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60G227M010K00+C001/K803,ECASD60G227M010K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60G227M010K00+C007/K803,ECASD60G227M010K00+C007,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60G227M010K00+S006/K803,ECASD60G227M010K00+S006,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60G227R012K00+C001/K803,ECASD60G227R012K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60G227Y012K00+C001/K803,ECASD60G227Y012K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J157M010K00+C001/K803,ECASD60J157M010K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J157M010K00+C002/K803,ECASD60J157M010K00+C002,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J157M010K00+C007/K803,ECASD60J157M010K00+C007,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J157M010K02+C001/K803,ECASD60J157M010K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J157M010L00+C001/L801,ECASD60J157M010L00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J187M010K00+C001/K803,ECASD60J187M010K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J187M010K02+C001/K803,ECASD60J187M010K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J227M010K00+C001/K803,ECASD60J227M010K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J227M010K00+C005/K803,ECASD60J227M010K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J227M010K00+C007/K803,ECASD60J227M010K00+C007,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J227M010K00+C085/K803,ECASD60J227M010K00+C085,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J227M010L00+C001/L801,ECASD60J227M010L00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD60J337M009KA0+C001/K803,ECASD60J337M009KA0+C001,4.9,4.95,4.85,0.55,0.65,0.45
ECASD61A157M010KA0+LADR/K803,ECASD61A157M010KA0+LADR,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61A686M015K00+C001/K803,ECASD61A686M015K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61A686M015L00+C001/L801,ECASD61A686M015L00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61B107M012KA0+C001/K803,ECASD61B107M012KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61B107M012KH0+C009/K803,ECASD61B107M012KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61B476M020K00+C001/K803,ECASD61B476M020K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61B566M020K00+C001/K803,ECASD61B566M020K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61C107M012KA0+C001/K803,ECASD61C107M012KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61C107M012KA0+C016/K803,ECASD61C107M012KA0+C016,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61C107M012KA0+S003/K803,ECASD61C107M012KA0+S003,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61C107M012KH0+C009/K803,ECASD61C107M012KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61C226M030K00+C001/K803,ECASD61C226M030K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61C226M030K00+C005/K803,ECASD61C226M030K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61C226M030KA1+C002/K803,ECASD61C226M030KA1+C002,4.9,4.95,4.85,0.75,0.85,0.65
ECASD61C476M020K01+C001/K803,ECASD61C476M020K01+C001,4.9,4.95,4.85,0.75,0.85,0.65
